Intensity_MassDisplacement_PI,Intensity_MaxIntensityEdge_DAPI,Intensity_MaxIntensityEdge_PI,Intensity_MaxIntensity_DAPI,Intensity_MaxIntensity_PI,Intensity_MeanIntensityEdge_DAPI,Intensity_MeanIntensityEdge_PI,Intensity_MeanIntensity_DAPI,Intensity_MeanIntensity_PI,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_PI,Intensity_MinIntensityEdge_DAPI,Intensity_MinIntensityEdge_PI,Intensity_MinIntensity_DAPI,Intensity_MinIntensity_PI,Intensity_StdIntensityEdge_DAPI,Intensity_StdIntensityEdge_PI,Intensity_StdIntensity_DAPI,Intensity_StdIntensity_PI,Intensity_UpperQuartileIntensity_DAPI,Intensity_UpperQuartileIntensity_PI,Number_Object_Number
0.217534182,0.051865414,0.038010225,0.135317013,0.039047837,0.039266248,0.032726723,0.07242459,0.032975515,0.073411152,0.03262379,0.030090792,0.029373618,0.030090792,0.029053178,0.005254584,0.002108773,0.024945227,0.001971332,0.091294728,0.034225985,72
0.410627556,0.048371099,0.052323185,0.184603646,0.052323185,0.038153424,0.034187985,0.089316189,0.034545072,0.08736553,0.034546427,0.030365454,0.025528343,0.030365454,0.025528343,0.004691333,0.00534867,0.039407626,0.003247105,0.115468835,0.035877775,73
0.222389781,0.055207141,0.036972608,0.199633777,0.038773175,0.036787779,0.031777651,0.104855582,0.033416609,0.10611124,0.033737697,0.028412299,0.026413366,0.028412299,0.026413366,0.005461113,0.002551836,0.05167774,0.002088473,0.150713354,0.03487831,74
0.214478667,0.049790189,0.039993897,0.172869459,0.04119936,0.035765478,0.033789435,0.093825725,0.034688779,0.102800034,0.034622721,0.027328908,0.028305486,0.027328908,0.028305486,0.004536053,0.00253867,0.038582988,0.001963666,0.125238419,0.035965513,75
0.212592062,0.050110627,0.038391698,0.201174945,0.039826047,0.035144269,0.032916571,0.093175863,0.034086776,0.099061571,0.034027617,0.028915847,0.029449912,0.028915847,0.028595407,0.003508297,0.002077623,0.042821115,0.001926175,0.129594877,0.035431448,76
0.178812737,0.069245443,0.037048906,0.200152591,0.037048906,0.041744952,0.031878951,0.09650091,0.032630374,0.103173878,0.032692455,0.033447776,0.028091859,0.033447776,0.027985046,0.005776535,0.00165905,0.039271129,0.001522425,0.129533842,0.033661403,77
0.238598787,0.053238727,0.035873961,0.22615397,0.035904478,0.038792091,0.030449441,0.105724907,0.031954075,0.093095291,0.032318607,0.031403068,0.024246586,0.031403068,0.024246586,0.005116032,0.002139836,0.057159266,0.001844062,0.155642021,0.033237964,78
0.073117294,0.056595713,0.036942091,0.12956436,0.039917603,0.038672652,0.033581895,0.071465504,0.03366558,0.074982837,0.033554588,0.029617762,0.030395972,0.029617762,0.030243382,0.005200407,0.001326206,0.024464278,0.00160506,0.09114977,0.034630351,79
0.07240573,0.107896544,0.036575876,0.161287859,0.036804762,0.043917581,0.031659352,0.088455562,0.032195494,0.096429389,0.032318607,0.031769283,0.028091859,0.031769283,0.027862974,0.013704119,0.001557323,0.031195786,0.001267395,0.114030672,0.033062484,80
0.267290304,0.065323874,0.039917603,0.209079117,0.041596092,0.039758616,0.033710658,0.09893264,0.035476009,0.099397272,0.035477225,0.030792706,0.028900588,0.030792706,0.028824292,0.00547871,0.002542353,0.043800394,0.002584993,0.136194393,0.037659265,81
0.298316368,0.049027238,0.037735563,0.201968417,0.037735563,0.036119942,0.031526835,0.10659089,0.032269306,0.11149767,0.03215076,0.028488593,0.026321813,0.028488593,0.026321813,0.005129605,0.002451181,0.051832083,0.002037595,0.152513929,0.033791102,82
0.371678937,0.047974367,0.040238041,0.157824069,0.040787365,0.033268699,0.033069036,0.078643105,0.034180822,0.07507439,0.034210727,0.027298391,0.026932174,0.027298391,0.026184482,0.004174614,0.003306859,0.037445699,0.002861418,0.11338979,0.036133364,83
0.093903886,0.050858319,0.036209658,0.468757153,0.038162813,0.03799966,0.033625896,0.145997905,0.033963836,0.094346531,0.0339971,0.030701153,0.027542535,0.030701153,0.027542535,0.004085009,0.00179559,0.120858807,0.001520354,0.219996952,0.034882125,84
0.127163309,0.066117339,0.036224917,0.147035941,0.038147554,0.043113934,0.03280445,0.079724969,0.033143607,0.08020905,0.033035781,0.031921875,0.030014496,0.031921875,0.028763257,0.007370973,0.00151227,0.027294746,0.001451179,0.102197297,0.0341001,85
0.184469944,0.072983898,0.038727399,0.160921648,0.038727399,0.039012378,0.032951349,0.079247836,0.033415362,0.080544747,0.033402,0.030014496,0.027954528,0.030014496,0.027954528,0.006842239,0.002539987,0.032316602,0.001897694,0.105203325,0.03464561,86
0.591060141,0.070405126,0.041397728,0.503944457,0.042175937,0.038831087,0.030642159,0.151837497,0.032636609,0.108468756,0.032852676,0.031357288,0.026031891,0.031357288,0.024856947,0.00664233,0.003366434,0.11848713,0.003583669,0.220313579,0.035420004,87
0.245925781,0.053101398,0.03807126,0.177248806,0.038773175,0.03960797,0.033222229,0.090413485,0.033661715,0.090653852,0.034210727,0.030853743,0.027466239,0.030853743,0.02716106,0.005524563,0.003198358,0.039322885,0.00253878,0.125078201,0.035446707,88
1.304949391,0.046829939,0.131212324,0.182986185,0.131212324,0.035900791,0.040559752,0.099326338,0.035263732,0.100221254,0.033356223,0.029098954,0.025848784,0.029098954,0.024780652,0.004217916,0.023026626,0.045492624,0.011635247,0.140497446,0.034725718,89
0.271231721,0.051407646,0.038422216,0.429083705,0.043656062,0.038217528,0.032045908,0.154997634,0.036376429,0.125719085,0.036881056,0.029861907,0.026169222,0.029861907,0.026169222,0.003899357,0.002401993,0.108009726,0.003103066,0.226428628,0.038513772,90
0.144205104,0.073594265,0.035309378,0.117006183,0.037277792,0.039275972,0.031418576,0.069935571,0.032527868,0.070443273,0.032585641,0.030975815,0.02713054,0.030975815,0.026810102,0.006586832,0.001715046,0.022922555,0.001713819,0.089879453,0.033630885,91
0.093076052,0.049149308,0.034821089,0.095628291,0.036636911,0.038398774,0.032344965,0.062928057,0.032570967,0.064377815,0.032562751,0.02980087,0.030060273,0.02980087,0.029480431,0.005364874,0.001118412,0.01593489,0.001181968,0.075654231,0.033398185,92
0.12309037,0.159441516,0.035812926,0.159441516,0.035812926,0.08065919,0.030853742,0.089174708,0.030857516,0.0896849,0.030975815,0.029373618,0.028046083,0.029373618,0.028046083,0.045259954,0.001790041,0.038654001,0.001526737,0.124563208,0.031689174,93
0.077909075,0.05384909,0.037949186,0.170382231,0.039078355,0.037970646,0.033103018,0.087404453,0.033991325,0.091248952,0.033844512,0.03059434,0.029846648,0.03059434,0.029541466,0.005192309,0.001778913,0.036179212,0.001857265,0.117586024,0.035370413,94
